_index_,mClass,gpt_q,user_q,files
0,民法,配偶繼承權,配偶在繼承權方面有什麼權利？,民法第1144條
1,民法,法定財產制,夫妻剩餘財產分配請求權如何行使？,民法第1030條之1
2,民法,遺產繼承,遺產繼承的順位是如何規定的？,民法第1138條
3,民法,租賃契約,房東任意要求調漲租金合法嗎？,民法第421條
4,民法,押金返還,房東可以藉故不返還押金嗎？,民法第422條之1
5,民法,結婚要件,結婚需要具備哪些法定要件？,民法第980條
6,民法,離婚條件,如何辦理協議離婚？需要什麼文件？,民法第1050條
7,民法,監護權,離婚後子女監護權如何判定？,民法第1055條
8,民法,扶養義務,子女對父母是否有扶養義務？,民法第1114條
9,民法,買賣契約,網購商品有瑕疵如何退貨？,民法第359條
10,民法,定金效力,給付定金後可以要求退還嗎？,民法第249條
11,民法,借貸糾紛,民間借貸的利息上限是多少？,民法第205條
12,民法,侵權賠償,遭受他人故意傷害，可請求什麼賠償？,民法第184條
13,民法,共有物分割,繼承的不動產要如何進行分割？,民法第824條
14,民法,代理權限,委託他人代理的權限範圍如何認定？,民法第103條
15,民法,不當得利,誤匯款項到他人帳戶如何追回？,民法第179條
16,民法,特留分,遺產特留分的計算方式是什麼？,民法第1223條
17,民法,債務清償,債務清償的順序應如何處理？,民法第321條
18,民法,損害賠償,車禍受傷如何請求醫療費用賠償？,民法第193條
19,民法,契約解除,契約解除後的權利義務關係如何？,民法第259條
20,民法,房屋買賣,購買預售屋的定型化契約重要內容？,民法第345條
21,民法,親權行使,未成年子女的親權如何行使？,民法第1086條
22,民法,遺囑效力,自書遺囑的法律效力要件為何？,民法第1189條
23,民法,抵押權,房屋抵押權的設定與塗銷程序？,民法第860條
24,民法,保證責任,擔任保證人的法律責任範圍？,民法第739條
25,民法,時效取得,占有土地多久可以主張時效取得？,民法第769條
26,民法,贈與契約,贈與財產後可以撤銷嗎？,民法第408條
27,民法,婚前協議,婚前財產協議的效力如何？,民法第1008條
28,民法,車位買賣,購買停車位應注意哪些法律問題？,民法第345條
29,民法,房屋租賃,房東可以任意調漲租金嗎？,民法第422條
30,民法,點交問題,房屋交屋時發現與契約不符怎麼辦？,民法第348條
31,民法,債務承擔,公司併購後的債務如何承擔？,民法第301條
32,民法,契約終止,定期契約到期前可以提前終止嗎？,民法第450條
33,民法,共有物管理,共有房屋的修繕費用如何分擔？,民法第820條
34,民法,占有保護,遭他人侵占土地該如何處理？,民法第962條
35,刑法,正當防衛,遭受攻擊時，如何判斷正當防衛的界限？,刑法第23條
36,刑法,共同正犯,多人一起犯罪時，如何認定各人責任？,刑法第30條
37,刑法,未遂犯,犯罪未完成時應如何處罰？,刑法第25條
38,刑法,緩刑條件,初犯可以聲請緩刑嗎？條件為何？,刑法第74條
39,刑法,累犯加重,如何認定累犯？刑責如何加重？,刑法第47條
40,刑法,自首減刑,犯罪後自首可以減輕刑責嗎？,刑法第62條
41,刑法,竊盜罪,竊盜罪的構成要件與處罰為何？,刑法第320條
42,刑法,詐欺罪,網路詐欺的刑事責任如何認定？,刑法第339條
43,刑法,傷害罪,過失傷害與故意傷害的差別？,刑法第277條
44,刑法,侵占罪,保管他人財物未返還構成侵占嗎？,刑法第335條
45,刑法,公然侮辱,網路上辱罵他人的法律責任？,刑法第309條
46,刑法,恐嚇取財,遭受恐嚇要求金錢如何處理？,刑法第346條
47,刑法,偽造文書,偽造文件的刑事責任如何？,刑法第210條
48,刑法,背信罪,公司負責人背信之認定標準？,刑法第342條
49,刑法,妨害自由,非法限制他人行動自由的後果？,刑法第302條
50,道路交通管理處罰條例,酒駕處罰,酒駕被抓會受到什麼處罰？,道路交通管理處罰條例第35條
51,道路交通管理處罰條例,超速處罰,超速多少公里會被開罰？累犯如何處理？,道路交通管理處罰條例第33條
52,道路交通管理處罰條例,闖紅燈,闖紅燈被拍到會受到什麼處罰？,道路交通管理處罰條例第53條
53,道路交通管理處罰條例,無照駕駛,無照駕駛被查獲會有什麼處罰？,道路交通管理處罰條例第21條
54,道路交通管理處罰條例,違規停車,違規停車被拖吊要如何處理？,道路交通管理處罰條例第56條
55,道路交通管理處罰條例,肇事逃逸,交通事故後逃逸會受到什麼處罰？,道路交通管理處罰條例第62條
56,道路交通管理處罰條例,騎車未戴安全帽,機車騎士未戴安全帽會被罰多少？,道路交通管理處罰條例第31條
57,道路交通管理處罰條例,違規轉彎,違規左轉或右轉會被罰多少？,道路交通管理處罰條例第48條
